TYPE,CUSTOMER,SITE_ID,SITE_NAME,LONGITUDE,LATITUDE,ADDRESS,MASTER_SITE_ID,SITE_TYPE,REGIONAL,WITEL,STO
MOBILE_SITE,TELKOMSEL,test_COE132,COMIS ALUN-ALUN KARANGANYAR,110.72673,-7.5622,[TEMPORER] COMIS JANTI COKRO,#N/A,REGULAR,REGIONAL 4,SOLO,DLG
MOBILE_SITE,TELKOMSEL,test_SLO061,Pasar Kliwon,110.83131,-7.57974,"[ SLO061 ?] JL. KAPTEN MULYADI NO. 229, KEL. PASAR KLIWON, KEC. PASAR KLIWON, KOTA SURAKARTA",#N/A,REGULAR,REGIONAL 4,SOLO,GLD
